test_size,epochs,nblayers,r2,evs,mae,time
0.05,18,2,0.9683959903829683,0.9684396882610994,0.12622274253833057,1.8179070949554443
0.05,19,2,0.9733891693359509,0.9733910975349522,0.12181424276460487,1.6979751586914062
0.05,20,2,0.973530997277852,0.9739512021821799,0.12456472939747198,1.739499568939209
0.05,21,2,0.9732633790431051,0.9735471812505676,0.12375204374878336,1.8181023597717285
0.05,22,2,0.9738454807594127,0.9749290510472426,0.12279779641881698,1.850245714187622
0.05,23,2,0.973641364353301,0.974702395107942,0.12022533874996998,1.9137351512908936
0.05,24,2,0.9744089052286617,0.9744620315733423,0.11998695545341953,1.9971559047698975
0.05,25,2,0.9739432184800879,0.97395250427483,0.12257628286289843,2.052493095397949
0.05,26,2,0.9718636375596851,0.9722749687165944,0.1254373294589287,2.2960402965545654
0.05,27,2,0.9738474653096171,0.9745973740633483,0.1219403561152451,2.181072235107422
0.05,28,2,0.9739179329987827,0.9748276801771514,0.11997320550575973,2.2310593128204346
0.05,29,2,0.9726811230460845,0.9730454776309657,0.12365592825266279,2.2668135166168213
0.05,30,2,0.9717272659717906,0.9717754242934755,0.12728600147764121,2.3307487964630127
0.05,1,3,0.9049931465759902,0.9050015648587626,0.21853691949433107,0.6664795875549316
0.05,2,3,0.9398340269452629,0.9406282551313161,0.18501913730091638,0.7090499401092529
0.05,3,3,0.9644336058096518,0.9649120098614749,0.13695154705770723,0.7878334522247314
0.05,4,3,0.9668010975955741,0.9668099734325275,0.135127066512978,1.0469491481781006
0.05,5,3,0.9641211052335801,0.9648194267637249,0.13657764601684316,0.9055764675140381
0.05,6,3,0.9666009043989555,0.9671641637879403,0.13361626169649973,0.9557344913482666
0.05,7,3,0.9673699283701452,0.9686837968480123,0.13684979690083848,1.0483489036560059
0.05,8,3,0.9670172659540492,0.9677250862199736,0.13801588596879324,1.0586347579956055
0.05,9,3,0.969299409605754,0.9697983586638261,0.13362924516354385,1.16829252243042
0.05,10,3,0.9741329142998175,0.9744070655191988,0.1213122431829592,1.1789932250976562
0.05,11,3,0.9719039913132351,0.9721928929456575,0.12897971542902348,1.262876272201538
0.05,12,3,0.9692215817390579,0.9710494431407019,0.12997317221829163,1.52109956741333
0.05,13,3,0.9701081370197396,0.9701183846610837,0.12762242373709048,1.4725806713104248
0.05,14,3,0.9724908145602301,0.973062152409847,0.126957440711432,1.4606831073760986
0.05,15,3,0.9732773812975344,0.9737208543112253,0.12547371017244865,1.50201416015625
0.05,16,3,0.9733151726273991,0.9734142077606294,0.12246976696306067,1.577260971069336
0.05,17,3,0.9727434297260134,0.9727768370692412,0.12430370601554873,1.6212573051452637
0.05,18,3,0.9749031375523471,0.9750259396835738,0.11933375656990475,1.6410377025604248
0.05,19,3,0.9730267830097293,0.9730284288676935,0.12213926078881841,1.75679349899292
0.05,20,3,0.9719280251873206,0.9732427769519125,0.12753358917454014,2.0222902297973633
0.05,21,3,0.9724623447675288,0.973623792341697,0.1264802317640112,1.9181993007659912
0.05,22,3,0.973324833656624,0.973623305347483,0.12238659993263078,1.9557528495788574
