Structure,Material,nbP,volume,mass,TC,density,lowest_valence,highest_valence,lowest_pediod,highest_pediod,lowest_group,highest_group,lowest_elMass,highest_elMass,lowest_nbneutrons,highest_nbneutrons,lowest_nbprotons,highest_nbprotons,lowest_nbelectrons,highest_nbelectrons,lowest_nbshells,highest_nbshells,lowest_electronegativity,highest_electronegativity,Ag,Al,As,B,Ba,Be,Br,C,Ca,Cd,Cl,Cs,Cu,F,Ga,H,I,In,K,Li,Mg,N,Na,O,P,Pb,Rb,S,Sb,Se,Si,Sr,Te,Zn
wurtzite,AsGa,4.0,22.647268591844256,289.2892,30.679165561702888,5.301081563682883,3.0,5.0,4.0,4.0,13.0,15.0,69.723,74.922,39.0,42.0,31.0,33.0,31.0,33.0,4.0,4.0,1.81,2.18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wurtzite,GaN,4.0,11.352914933393103,167.4594,300.67351603144067,6.121392735498062,3.0,5.0,2.0,4.0,13.0,15.0,14.007,69.723,7.0,39.0,7.0,31.0,7.0,31.0,2.0,4.0,1.81,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
wurtzite,GaP,4.0,20.08749554340685,201.393524,119.21823647454724,4.160713428879004,3.0,5.0,3.0,4.0,13.0,15.0,30.974,69.723,16.0,39.0,15.0,31.0,15.0,31.0,3.0,4.0,1.81,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
wurtzite,GaSb,4.0,28.56094237229436,382.966,24.721266390128005,5.564623461240251,3.0,5.0,4.0,5.0,13.0,15.0,69.723,121.76,39.0,71.0,31.0,51.0,31.0,51.0,4.0,5.0,1.81,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
wurtzite,AsIn,4.0,28.19433100117859,379.4792,21.438211001284497,5.5856572015635635,3.0,5.0,4.0,5.0,13.0,15.0,74.922,114.818,42.0,66.0,33.0,49.0,33.0,49.0,4.0,5.0,1.78,2.18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wurtzite,InN,4.0,15.498303713044542,257.6494,114.50887077331474,6.899109927107976,3.0,5.0,2.0,5.0,13.0,15.0,14.007,114.818,7.0,66.0,7.0,49.0,7.0,49.0,2.0,5.0,1.78,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
wurtzite,InP,4.0,25.382475841201046,291.583524,69.15364550709126,4.76735064053839,3.0,5.0,3.0,5.0,13.0,15.0,30.974,114.818,16.0,66.0,15.0,49.0,15.0,49.0,3.0,5.0,1.78,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
wurtzite,InSb,4.0,34.63983666926274,473.156,10.878160439978116,5.668610446256451,3.0,5.0,5.0,5.0,13.0,15.0,114.818,121.76,66.0,71.0,49.0,51.0,49.0,51.0,5.0,5.0,1.78,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
wurtzite,MgTe,4.0,33.43519886335819,303.80999999999995,8.352737219547302,3.770910725408396,2.0,6.0,3.0,5.0,2.0,16.0,24.305,127.6,12.0,76.0,12.0,52.0,12.0,52.0,3.0,5.0,1.0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
wurtzite,CSi,4.0,10.356674361698362,80.1924,454.4101258161733,3.2133718641456386,4.0,4.0,2.0,3.0,14.0,14.0,12.011,28.086,6.0,14.0,6.0,14.0,6.0,14.0,2.0,3.0,1.9,2.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
wurtzite,OZn,4.0,11.861858777099098,162.7588,56.28362862748213,5.694293219069887,2.0,6.0,2.0,4.0,12.0,16.0,15.999,65.38,8.0,35.0,8.0,30.0,8.0,30.0,2.0,4.0,1.65,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
wurtzite,SZn,4.0,19.282060068715108,194.89,61.09127307917177,4.194538846563687,2.0,6.0,3.0,4.0,12.0,16.0,32.065,65.38,16.0,35.0,16.0,30.0,16.0,30.0,3.0,4.0,1.65,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
